component,s,target_amplitude,quantile,beta,unit_quantile,amplitude_scale,tau
vp,0,0.05,0.95,1.0,0.25744399495297987,0.19421699857140623,0.19421699857140623
vp,2,0.05,0.95,1.0,0.25744399495297987,0.19421699857140623,0.06473899952380208
vp,4,0.05,0.95,1.0,0.25744399495297987,0.19421699857140623,0.038843399714281246
vp,6,0.05,0.95,1.0,0.25744399495297987,0.19421699857140623,0.02774528551020089
vs_IC,0,0.05,0.95,1.0,6.271580083347162,0.007972472540494905,0.007972472540494905
vs_IC,2,0.05,0.95,1.0,6.271580083347162,0.007972472540494905,0.002657490846831635
vs_IC,4,0.05,0.95,1.0,6.271580083347162,0.007972472540494905,0.0015944945080989812
vs_IC,6,0.05,0.95,1.0,6.271580083347162,0.007972472540494905,0.0011389246486421293
vs_M,0,0.05,0.95,1.0,0.06070261490030152,0.823687745282809,0.823687745282809
vs_M,2,0.05,0.95,1.0,0.06070261490030152,0.823687745282809,0.2745625817609363
vs_M,4,0.05,0.95,1.0,0.06070261490030152,0.823687745282809,0.1647375490565618
vs_M,6,0.05,0.95,1.0,0.06070261490030152,0.823687745282809,0.11766967789754414
rho,0,0.05,0.95,1.0,0.24852021541340177,0.20119087663282176,0.20119087663282176
rho,2,0.05,0.95,1.0,0.24852021541340177,0.20119087663282176,0.06706362554427392
rho,4,0.05,0.95,1.0,0.24852021541340177,0.20119087663282176,0.04023817532656435
rho,6,0.05,0.95,1.0,0.24852021541340177,0.20119087663282176,0.028741553804688822
